eng_name,kanji,hepburn
Defense Curl,まるくなる,Marukunaru
Destiny Bond,みちづれ,Michizure
Detect,みきり,Mikiri
Dig,あなをほる,Ana o Horu
Disable,かなしばり,Kanashibari
Dive,ダイビング,Daibingu
Dizzy Punch,ピヨピヨパンチ,Piyopiyo Panchi
Doom Desire,はめつのねがい,Hametsu no Negai
Double Kick,にどげり,Nidogeri
Double Slap,おうふくビンタ,Ōfuku Binta
Double Team,かげぶんしん,Kage Bunshin
Double-Edge,すてみタックル,Sutemi Takkuru
Dragon Breath,りゅうのいぶき,Ryū no Ibuki
Dragon Claw,ドラゴンクロー,Doragon Kurō
Dragon Dance,りゅうのまい,Ryū no Mai
Dragon Rage,りゅうのいかり,Ryū no Ikari
Dream Eater,ゆめくい,Yume Kui
Drill Peck,ドリルくちばし,Doriru Kuchibashi
Dynamic Punch,ばくれつパンチ,Bakuretsu Panchi
Earthquake,じしん,Jishin
Egg Bomb,タマゴばくだん,Tamago Bakudan
Ember,ひのこ,Hinoko
Encore,アンコール,Ankōru
Endeavor,がむしゃら,Gamushara
Endure,こらえる,Koraeru
Eruption,ふんか,Funka
Explosion,だいばくはつ,Dai Bakuhatsu
Extrasensory,じんつうりき,Jintsūriki
Extreme Speed,しんそく,Shinsoku
Facade,からげんき,Karagenki
Fake Out,ねこだまし,Nekodamashi
Fake Tears,うそなき,Uso Naki
False Swipe,みねうち,Mineuchi
Feather Dance,フェザーダンス,Fezā Dansu
Feint Attack,だましうち,Damashiuchi
Fire Blast,だいもんじ,Dai Monji
Fire Punch,ほのおのパンチ,Honō no Panchi
Fire Spin,ほのおのうず,Honō no Uzu
Fissure,じわれ,Jiware
Flail,じたばた,Jitabata
Flame Wheel,かえんぐるま,Kaen Guruma
Flamethrower,かえんほうしゃ,Kaen Hōsha
Flash,フラッシュ,Furasshu
Flatter,おだてる,Odateru
Fly,そらをとぶ,Sora o Tobu
Focus Energy,きあいだめ,Kiai Dame
Focus Punch,きあいパンチ,Kiai Panchi
Follow Me,このゆびとまれ,Kono Yubi Tomare
Foresight,みやぶる,Miyaburu
Frenzy Plant,ハードプラント,Hādo Puranto
Frustration,やつあたり,Yatsuatari
Fury Attack,みだれづき,Midare Dzuki
Fury Cutter,れんぞくぎり,Renzoku Giri
Fury Swipes,みだれひっかき,Midare Hikkaki
Future Sight,みらいよち,Mirai Yochi
Giga Drain,ギガドレイン,Giga Dorein
Glare,へびにらみ,Hebi Nirami
Grass Whistle,くさぶえ,Kusabue
Growl,なきごえ,Nakigoe
Growth,せいちょう,Seichō
Grudge,おんねん,Onnen
Guillotine,ハサミギロチン,Hasami Girochin
Gust,かぜおこし,Kaze Okoshi
Hail,あられ,Arare
Harden,かたくなる,Katakunaru
Haze,くろいきり,Kuroi Kiri
Headbutt,ずつき,Zutsuki
Heal Bell,いやしのすず,Iyashi no Suzu
Heat Wave,ねっぷう,Neppū
Helping Hand,てだすけ,Tedasuke
Hidden Power,めざめるパワー,Mezameru Pawā
High Jump Kick,とびひざげり,Tobihizageri
Horn Attack,つのでつく,Tsuno de Tsuku
Horn Drill,つのドリル,Tsuno Doriru
Howl,とおぼえ,Tōboe
Hydro Cannon,ハイドロカノン,Haidoro Kyanon
Hydro Pump,ハイドロポンプ,Haidoro Ponpu
Hyper Beam,はかいこうせん,Hakai Kōsen
Hyper Fang,ひっさつまえば,Hissatsu Maeba
Hyper Voice,ハイパーボイス,Haipā Boisu
Hypnosis,さいみんじゅつ,Saimin Jutsu
Ice Ball,アイスボール,Aisu Bōru
Ice Beam,れいとうビーム,Reitō Bīmu
Ice Punch,れいとうパンチ,Reitō Panchi
Icicle Spear,つららばり,Tsurara Bari
Icy Wind,こごえるかぜ,Kogoeru Kaze
Imprison,ふういん,Fūin
Ingrain,ねをはる,Ne o Haru
Iron Defense,てっぺき,Teppeki
Iron Tail,アイアンテール,Aian Tēru
Jump Kick,とびげり,Tobigeri
Karate Chop,からてチョップ,Karate Choppu
Kinesis,スプーンまげ,Supūn Mage
Knock Off,はたきおとす,Hataki Otosu
Leaf Blade,リーフブレード,Rīfu Bureido
Leech Life,きゅうけつ,Kyūketsu
Leech Seed,やどりぎのタネ,Yadorigi no Tane
Leer,にらみつける,Niramitsukeru
Lick,したでなめる,Shita de Nameru
Light Screen,ひかりのかべ,Hikari no Kabe
Lock-On,ロックオン,Rokku On
Lovely Kiss,あくまのキッス,Akuma no Kissu
Low Kick,けたぐり,Ketaguri
Luster Purge,ラスターパージ,Rasutā Pāji
Mach Punch,マッハパンチ,Mahha Panchi
Magic Coat,マジックコート,Majikku Kōto
Magical Leaf,マジカルリーフ,Majikaru Rīfu
Magnitude,マグニチュード,Magunichūdo
Mean Look,くろいまなざし,Kuroi Manazashi
Meditate,ヨガのポーズ,Yoga no Pōzu
Mega Drain,メガドレイン,Mega Dorein
Mega Kick,メガトンキック,Megaton Kikku
Mega Punch,メガトンパンチ,Megaton Panchi
Megahorn,メガホーン,Megahōn
Memento,おきみやげ,Okimiyage
Metal Claw,メタルクロー,Metaru Kurō
Metal Sound,きんぞくおん,Kinzoku On
Meteor Mash,コメットパンチ,Kometto Panchi
Metronome,ゆびをふる,Yubi o Furu
Milk Drink,ミルクのみ,Miruku Nomi
Mimic,ものまね,Monomane
Mind Reader,こころのめ,Kokoro no Me
Minimize,ちいさくなる,Chīsakunaru
Mirror Coat,ミラーコート,Mirā Kōto
Mirror Move,オウムがえし,Ōmu Gaeshi
Mist,しろいきり,Shiroi Kiri
Mist Ball,ミストボール,Misuto Bōru
Moonlight,つきのひかり,Tsuki no Hikari
Morning Sun,あさのひざし,Asa no Hizashi
Mud Shot,マッドショット,Maddo Shotto
Mud Sport,どろあそび,Doro Asobi
Mud-Slap,どろかけ,Dorokake
Muddy Water,だくりゅう,Dakuryū
Nature Power,しぜんのちから,Shizen no Chikara
Needle Arm,ニードルアーム,Nīdoru Āmu
Night Shade,ナイトヘッド,Naito Heddo
Nightmare,あくむ,Akumu
Octazooka,オクタンほう,Okutank Hō
Odor Sleuth,かぎわける,Kagiwakeru
Outrage,げきりん,Gekirin
Overheat,オーバーヒート,Ōbāhīto
Pain Split,いたみわけ,Itamiwake
Pay Day,ネコにこばん,Neko ni Koban
Peck,つつく,Tsutsuku
Perish Song,ほろびのうた,Horobi no Uta
Petal Dance,はなびらのまい,Hanabira no Mai
Pin Missile,ミサイルばり,Misairu Bari
Poison Fang,どくどくのキバ,Dokudoku no Kiba
Poison Gas,どくガス,Doku Gasu
Poison Powder,どくのこな,Doku no Kona
Poison Sting,どくばり,Doku Bari
Poison Tail,ポイズンテール,Poizun Tēru
Pound,はたく,Hataku
Powder Snow,こなゆき,Konayuki
Present,プレゼント,Purezento
Protect,まもる,Mamoru
Psybeam,サイケこうせん,Psyche Kōsen
Psych Up,じこあんじ,Jikoanji
Psychic,サイコキネシス,Saikokineshisu
Psycho Boost,サイコブースト,Saiko Būsuto
Psywave,サイコウェーブ,Saiko Uēbu
Pursuit,おいうち,Oiuchi
Quick Attack,でんこうせっか,Denkō Sekka
Rage,いかり,Ikari
Rain Dance,あまごい,Amagoi
Rapid Spin,こうそくスピン,Kōsoku Supin
Razor Leaf,はっぱカッター,Happa Kattā
Razor Wind,かまいたち,Kamaitachi
Recover,じこさいせい,Jikosaisei
Recycle,リサイクル,Risaikuru
Reflect,リフレクター,Rifurekutā
Refresh,リフレッシュ,Rifuresshu
Rest,ねむる,Nemuru
Return,おんがえし,Ongaeshi
Revenge,リベンジ,Ribenji
Reversal,きしかいせい,Kishi Kaisei
Roar,ほえる,Hoeru
Rock Blast,ロックブラスト,Rokku Burasuto
Rock Slide,いわなだれ,Iwa Nadare
Rock Smash,いわくだき,Iwakudaki
Rock Throw,いわおとし,Iwa Otoshi
Rock Tomb,がんせきふうじ,Ganseki Fūji
Role Play,なりきり,Narikiri
Rolling Kick,まわしげり,Mawashigeri
Rollout,ころがる,Korogaru
Sacred Fire,せいなるほのお,Seinaru Honō
Safeguard,しんぴのまもり,Shinpi no Mamori
Sand Attack,すなかけ,Sunakake
Sand Tomb,すなじごく,Suna Jigoku
Sandstorm,すなあらし,Suna Arashi
Scary Face,こわいかお,Kowai Kao
Scratch,ひっかく,Hikkaku
Screech,いやなおと,Iyanaoto
Secret Power,ひみつのちから,Himitsu no Chikara
Seismic Toss,ちきゅうなげ,Chikyū Nage
Self-Destruct,じばく,Jibaku
Shadow Ball,シャドーボール,Shadō Bōru
Shadow Punch,シャドーパンチ,Shadō Panchi
Sharpen,かくばる,Kakubaru
Sheer Cold,ぜったいれいど,Zettai Reido
Shock Wave,でんげきは,Dengekiha
Signal Beam,シグナルビーム,Shigunaru Bīmu
Silver Wind,ぎんいろのかぜ,Gin'iro no Kaze
Sing,うたう,Utau
Sketch,スケッチ,Sukecchi
Skill Swap,スキルスワップ,Sukiru Suwappu
Skull Bash,ロケットずつき,Rokketo Zutsuki
Sky Attack,ゴッドバード,Goddo Bādo
Sky Uppercut,スカイアッパー,Sukai Appā
Slack Off,なまける,Namakeru
Slam,たたきつける,Tatakitsukeru
Slash,きりさく,Kirisaku
Sleep Powder,ねむりごな,Nemuri Gona
Sleep Talk,ねごと,Negoto
Sludge,ヘドロこうげき,Hedoro Kōgeki
Sludge Bomb,ヘドロばくだん,Hedoro Bakudan
Smelling Salts,きつけ,Kitsuke
Smog,スモッグ,Sumoggu
Smokescreen,えんまく,Enmaku
Snatch,よこどり,Yokodori
Snore,いびき,Ibiki
Soft-Boiled,タマゴうみ,Tamago Umi
Solar Beam,ソーラービーム,Sōrā Bīmu
Sonic Boom,ソニックブーム,Sonikku Būmu
Spark,スパーク,Supāku
Spider Web,クモのす,Kumo no Su
Spike Cannon,とげキャノン,Toge Kyanon
Spikes,まきびし,Makibishi
Spit Up,はきだす,Hakidasu
Spite,うらみ,Urami
Splash,はねる,Haneru
Spore,キノコのほうし,Kinoko no Hōshi
Steel Wing,はがねのつばさ,Hagane no Tsubasa
Stockpile,たくわえる,Takuwaeru
Stomp,ふみつけ,Fumitsuke
Strength,かいりき,Kairiki
String Shot,いとをはく,Ito o Haku
Struggle,わるあがき,Waruagaki
Stun Spore,しびれごな,Shibire Gona
Submission,じごくぐるま,Jigoku Guruma
Substitute,みがわり,Migawari
Sunny Day,にほんばれ,Nihonbare
Super Fang,いかりのまえば,Ikari no Maeba
Superpower,ばかぢから,Bakajikara
Supersonic,ちょうおんぱ,Chōonpa
Surf,なみのり,Naminori
Swagger,いばる,Ibaru
Swallow,のみこむ,Nomikomu
Sweet Kiss,てんしのキッス,Tenshi no Kissu
Sweet Scent,あまいかおり,Amai Kaori
Swift,スピードスター,Supīdo Sutā
Swords Dance,つるぎのまい,Tsurugi no Mai
Synthesis,こうごうせい,Kōgōsei
Tackle,たいあたり,Taiatari
Tail Glow,ほたるび,Hotarubi
Tail Whip,しっぽをふる,Shippo o Furu
Take Down,とっしん,Tosshin
Taunt,ちょうはつ,Chōhatsu
Teeter Dance,フラフラダンス,Furafura Dansu
Teleport,テレポート,Terepōto
Thief,どろぼう,Dorobō
Thrash,あばれる,Abareru
Thunder,かみなり,Kaminari
Thunder Punch,かみなりパンチ,Kaminari Panchi
Thunder Shock,でんきショック,Denki Shokku
Thunder Wave,でんじは,Denjiha
Thunderbolt,１０まんボルト,Jūman Boruto
Tickle,くすぐる,Kusuguru
Torment,いちゃもん,Ichamon
Toxic,どくどく,Dokudoku
Transform,へんしん,Henshin
Tri Attack,トライアタック,Torai Atakku
Trick,トリック,Torikku
Triple Kick,トリプルキック,Toripuru Kikku
Twineedle,ダブルニードル,Daburu Nīdoru
Twister,たつまき,Tatsumaki
Uproar,さわぐ,Sawagu
Vice Grip,はさむ,Hasamu
Vine Whip,つるのムチ,Tsuru no Muchi
Vital Throw,あてみなげ,Ateminage
Volt Tackle,ボルテッカー,Borutekkā
Water Gun,みずでっぽう,Mizu Deppō
Water Pulse,みずのはどう,Mizu no Hadō
Water Sport,みずあそび,Mizu Asobi
Water Spout,しおふき,Shiofuki
Waterfall,たきのぼり,Taki Nobori
Weather Ball,ウェザーボール,Uezā Bōru
Whirlpool,うずしお,Uzushio
Whirlwind,ふきとばし,Fukitobashi
Will-O-Wisp,おにび,Onibi
Wing Attack,つばさでうつ,Tsubasa de Utsu
Wish,ねがいごと,Negaigoto
Withdraw,からにこもる,Kara ni Komoru
Wrap,まきつく,Makitsuku
Yawn,あくび,Akubi
Zap Cannon,でんじほう,Denjihō
